DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
196.208,94.5293,1.8265,1.5539,0.685154695,10.1182,61.9779,1.0985,3512064.338,1936.0
196.3604,97.1482,1.8257,1.5538,0.731074932,10.0888,58.8086,1.0541,3513252.786,1938.0
196.5128,100.9816,1.8229,1.554,0.798290418,10.1515,55.6679,1.0839,3510587.195,1936.0
196.6652,99.8408,1.8005,1.5547,0.778287438,10.07,60.5922,1.081,3470137.787,1934.0
196.8176,99.505,1.7714,1.5553,0.772399463,9.8602,57.8634,1.1102,3416698.427,1935.0
196.97,98.9581,1.7633,1.5549,0.762810026,9.7828,61.125,1.0538,3403708.57,1938.0
197.1224,100.9847,1.7857,1.554,0.798344774,9.8642,61.238,1.0918,3449614.403,1937.0
197.2748,100.8907,1.8009,1.5539,0.796696562,9.9804,62.7906,1.1174,3481667.436,1937.0
197.4272,99.3226,1.7902,1.5558,0.769201231,9.9086,58.6573,1.106,3463654.9,1937.0
197.5796,98.1308,1.763,1.5624,0.748304007,9.7532,63.8819,1.0419,3413661.781,1937.0
197.732,96.5026,1.766,1.5716,0.719754872,9.674,59.7715,1.0326,3422108.178,1938.0
197.8844,94.9333,1.7804,1.5759,0.6922385,9.595,64.4242,0.9615,3452671.18,1937.004
198.0368,89.8734,1.8159,1.5735,0.603517354,9.7623,59.5204,1.0131,3524227.246,1940.0
198.1892,91.5748,1.8299,1.566,0.633349991,9.8165,59.7875,0.998,3554130.887,1939.0
198.3416,92.2422,1.8301,1.5581,0.645052296,9.8876,57.0101,0.9836,3557252.629,1937.0
198.494,95.4897,1.8118,1.554,0.701994512,9.8421,58.2381,1.0036,3524388.006,1938.0
198.6464,95.7393,1.7983,1.5511,0.706371041,9.78,58.9152,0.9917,3500813.047,1938.0239
198.7988,95.3769,1.7884,1.5495,0.700016657,9.7065,68.8373,1.0198,3484211.384,1939.0
198.9512,96.2324,1.7904,1.5494,0.71501714,9.7312,63.9239,0.9812,3490781.839,1942.0
199.1036,94.2119,1.7854,1.5494,0.67958935,9.794,62.152,0.9455,3483699.761,1938.0
199.256,97.0381,1.8001,1.5496,0.72914442,9.8502,64.0649,0.9482,3515071.111,1939.0
199.4084,98.1284,1.8129,1.5493,0.748261925,9.8884,62.5406,1.0217,3542773.386,1940.0
199.5608,98.7663,1.8266,1.5478,0.759446972,9.9667,63.0842,1.0259,3572274.021,1943.0
199.7132,97.7582,1.7943,1.5453,0.741770776,10.1825,64.0414,0.9613,3511784.869,1938.0
199.8656,99.7423,1.7478,1.5423,0.776560322,10.4612,58.8081,0.9485,3423385.938,1939.0
200.018,103.5257,1.706,1.5389,0.8428991,10.698,56.5242,1.023,3344060.938,1941.0
200.1704,103.5405,1.6819,1.5348,0.843158605,10.5721,58.5375,0.981,3299332.638,1938.0
200.3228,102.7657,1.7113,1.53,0.829573131,10.2424,67.9654,1.0358,3359561.595,1940.0
200.4752,100.8123,1.7477,1.5252,0.795321884,9.8141,60.9694,1.0277,3433630.969,1940.0
200.6276,99.7939,1.7963,1.5206,0.777465085,9.7952,59.749,1.0678,3531796.107,1939.0
200.78,97.7839,1.8141,1.5172,0.742221404,9.875,59.574,1.0446,3569502.98,1941.0
200.9324,97.5716,1.827,1.5161,0.7384989,10.0791,56.863,1.083,3597614.249,1940.0
201.0848,97.7118,1.8172,1.5155,0.74095719,10.0386,55.9894,1.0788,3581030.726,1938.0
201.2372,97.1653,1.7841,1.513,0.731374767,9.862,58.9625,1.0623,3518467.427,1944.0
201.3896,95.7533,1.7683,1.508,0.706616519,9.9727,65.9248,1.0528,3489948.851,1942.0
201.542,97.0082,1.7407,1.4977,0.728620149,10.0416,63.3833,1.0625,3438076.762,1944.0
201.6944,97.1046,1.7354,1.4824,0.730310442,9.9809,63.3124,1.0668,3430200.525,1944.0
201.8468,99.1972,1.7306,1.4703,0.767002446,9.9234,62.9043,1.0806,3423297.506,1945.988
201.9992,98.6912,1.7417,1.4642,0.758130156,9.8339,64.5692,1.0639,3447855.665,1955.0
202.1516,100.1411,1.7591,1.4611,0.783552949,9.7442,58.965,1.0594,3484927.82,1944.0
202.304,96.9153,1.7794,1.4606,0.726991224,9.7376,60.5919,1.1179,3527801.428,1944.0
202.4564,99.854,1.7991,1.4656,0.778518889,9.7771,63.9604,1.0309,3569545.231,1946.0
202.6088,100.4036,1.8244,1.485,0.788155668,9.9188,65.5279,1.0551,3622467.048,1947.0
202.7612,103.207,1.8145,1.5157,0.83731096,9.8952,61.4059,1.0528,3605519.935,1943.0
202.9136,99.1778,1.815,1.5372,0.766662283,9.9486,55.9543,0.9821,3609224.203,1943.9921
203.066,97.0688,1.8275,1.5424,0.729682719,10.0397,59.8038,1.0022,3636810.527,1945.0
203.2184,94.5059,1.8345,1.5393,0.684744396,10.2552,56.8133,1.0603,3653480.717,1947.0
203.3708,93.6209,1.8247,1.5343,0.669226655,10.3111,54.7298,1.0145,3636688.848,1946.988
203.5232,94.3586,1.8018,1.5307,0.682161612,10.1042,63.7064,1.0556,3593739.397,1944.0
